CIDADES,MESORREGIOES,MICRORREGIOES,ANO,PRODUCAO,ALTITUDE NO NIVEL DO MAR,MEDIA DE PRECIPITACAO TOTAL,MEDIA DE PRESSAO ATMOSFERICA,MEDIA DE RADIACAO GLOBAL,MEDIA DE TEMPERATURA DO AR,MEDIA DE TEMPERATURA DO PONTO DE ORVALHO,MEDIA DE UMIDADE RELATIVA DO AR,MEDIA DE VELOCIDADE DO VENTO
Cabo Verde,Sul Sudoeste de Minas,Sao Sebastiao do Paraiso,2021,1320,836,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2012,1560,848,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2013,1560,848,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2014,1080,848,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2015,1020,848,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2016,1560,848,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2017,2276,848,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2018,2200,848,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2019,1680,848,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2020,1860,848,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Cachoeira de Minas,Sul Sudoeste de Minas,Santa Rita do Sapucai,2021,1560,848,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2012,1320,1131,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2013,1800,1131,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2014,1320,1131,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2015,1501,1131,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2016,1320,1131,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2017,1860,1131,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2018,1620,1131,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2019,1440,1131,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2020,1680,1131,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Caldas,Sul Sudoeste de Minas,Pocos de Caldas,2021,1200,1131,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2012,1350,1054,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2013,1310,1054,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2014,1260,1054,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2015,1910,1054,"0,1821421322","908,483797","1423,723568","23,46453462","15,8018901","66,10966429","1,787797155"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2016,1847,1054,"0,1534177848","909,027482","1411,095369","22,51454827","14,6007571","64,63473452","1,978855732"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2017,2106,1054,"0,1480334636","909,2214932","1389,859947","22,31290535","14,17060947","63,63812545","2,088801302"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2018,1540,1054,"0,166645632","908,5662085","1192,791685","21,70802692","14,72084031","67,75710772","1,891698372"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2019,1550,1054,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2020,2138,1054,"0,138441802","909,280185","1219,010675","20,03322912","14,41001335","73,84641571","1,552561046"
Campestre,Sul Sudoeste de Minas,Pocos de Caldas,2021,1290,1054,"0,1258420716","908,5074625","1409,035466","19,5474043","12,71395907","70,35068943","1,69783749"
Campo do Meio,Sul Sudoeste de Minas,Varginha,2012,1170,856,"0,1320847739","908,8522084","1449,779354","22,08919743","14,29757226","64,74409164","2,094559226"
Campo do Meio,Sul Sudoeste de Minas,Varginha,2013,1170,856,"0,1982982782","908,6080498","1346,613883","21,56809938","14,82517392","68,70291061","1,996814001"
Campo do Meio,Sul Sudoeste de Minas,Varginha,2014,900,856,"0,1132905698","909,1807222","1495,142717","22,85072456","13,48398751","59,8419428","2,198578678"
